,,N_ESTIMATORS,LEARNING_RATE,MAX_DEPTH,MAE,MSE,RMSE
51,GB,200.0,0.1,7,1.4327405366850443,3.305915294291886,1.8182176146687958
52,GB,200.0,0.2,3,1.45802756466153,3.434651900762586,1.8532813873674407
53,GB,200.0,0.2,5,1.460956353635596,3.4307681838497617,1.8522332962804016
54,GB,200.0,0.2,7,1.4488545787857519,3.383480220757906,1.8394238828388376
55,1,50.0,0.01,7,1.3838507053293585,3.1264928413805304,1.768189141856869
56,GB,50.0,0.01,3,1.1458346434236804,2.1291760083229097,1.459169629728809
57,GB,50.0,0.01,5,1.1441920157060774,2.146803104042534,1.4651972918493037
58,GB,50.0,0.01,7,1.146590905206919,2.186944476485948,1.478832132625589
59,GB,50.0,0.1,3,1.5046766475461664,3.588622174263174,1.8943659029509516
60,GB,50.0,0.1,5,1.5018301833314749,3.6318565007256765,1.9057430311365897
61,GB,50.0,0.1,7,1.5176158379065703,3.8467632620661254,1.9613167164091896
62,GB,50.0,0.2,3,1.544722351570742,3.781679690557186,1.9446541313450025
63,GB,50.0,0.2,5,1.5271148805420744,3.8209595201770425,1.954727479772319
64,GB,50.0,0.2,7,1.5322082439721267,3.93335505990151,1.9832687815577368
65,GB,100.0,0.01,3,1.2414323568808805,2.49688291268358,1.5801528130796654
66,GB,100.0,0.01,5,1.2529539806611518,2.550726339095048,1.5970993516669676
67,GB,100.0,0.01,7,1.2700281953195962,2.6726518298512656,1.6348247092123565
68,GB,100.0,0.1,3,1.5267889928532365,3.680728949317202,1.9185225954669396
69,GB,100.0,0.1,5,1.5173735524441543,3.720160643465903,1.9287717966275593
70,GB,100.0,0.1,7,1.5319314760604872,3.934526525675329,1.9835640966894237
71,GB,100.0,0.2,3,1.560962407619299,3.8880505072484044,1.9718140143655547
72,GB,100.0,0.2,5,1.5453607903666025,3.9239553630411956,1.9808976154867761
73,GB,100.0,0.2,7,1.5252774746824032,3.899239154232278,1.9746491218017135
74,GB,200.0,0.01,3,1.392493660502531,3.091781404627104,1.7583462129589564
75,GB,200.0,0.01,5,1.3987064093907113,3.138111189978173,1.7714714759143522
76,GB,200.0,0.01,7,1.4185158833925413,3.33338690714199,1.8257565300833487
77,GB,200.0,0.1,3,1.552775361639608,3.8152457062959044,1.9532653957657429
78,GB,200.0,0.1,5,1.5239262787882522,3.8126859245526323,1.9526100287954664
79,GB,200.0,0.1,7,1.5257685112510662,3.923868956330006,1.9808758053775117
80,GB,200.0,0.2,3,1.5599401912677617,3.949359839981864,1.9872996351788181
81,GB,200.0,0.2,5,1.5530566288047607,3.9626254088273645,1.9906344237019926
82,GB,200.0,0.2,7,1.524907063288438,3.9103276527644923,1.9774548421555656
83,2,50.0,0.01,3,1.4687183148854808,3.455019650446488,1.858768315430002
84,GB,50.0,0.01,3,1.1631093541203643,2.284618040410676,1.511495299500027
85,GB,50.0,0.01,5,1.1757984229814453,2.3234425828206233,1.5242842854338634
86,GB,50.0,0.01,7,1.192848393470322,2.347543901128497,1.5321696711293098
87,GB,50.0,0.1,3,1.4266341581463258,3.255883018225304,1.8044065556922875
88,GB,50.0,0.1,5,1.530684582555884,3.646311769361075,1.909531819415711
89,GB,50.0,0.1,7,1.548454571026859,3.6771626017489663,1.9175929186740772
90,GB,50.0,0.2,3,1.4942300139336486,3.572089355309075,1.889997183942102
91,GB,50.0,0.2,5,1.5688256905228575,3.8224490351054654,1.955108445868276
92,GB,50.0,0.2,7,1.562375634087526,3.7577859518908774,1.9385009548336254
